Issuer_id,1_1_,1_2_,1_3_,1_4_,1_5_,1_6_,2_1_,2_2_,2_3_,2_4_,2_5_,2_6_,3_1_,3_2_,3_3_,3_4_,3_5_,3_6_,4_1_,4_2_,4_3_,4_4_,4_5_,4_6_,5_1_,5_2_,5_3_,5_4_,5_5_,5_6_,6_1_,6_2_,6_3_,6_4_,6_5_,6_6_,7_1_,7_2_,7_3_,7_4_,7_5_,7_6_
355226,6,156,61,47,242,0,13,125,94,61,265,0,5,116,101,47,173,0,3,103,47,29,152,0,0,122,36,33,190,0,0,0,0,0,0,0,0,9,2,0,8,0
357711,0,183,79,78,183,7,0,161,93,40,113,4,0,170,69,43,127,4,0,171,80,53,116,4,0,162,69,45,102,2,0,134,14,37,94,2,0,0,0,0,0,0
359316,2,59,29,42,72,4,7,44,34,57,82,0,2,36,32,22,53,4,3,26,19,34,46,2,4,52,18,35,65,0,0,6,6,9,23,0,0,3,0,0,2,0
346157,47,244,6,24,100,0,45,263,9,21,76,0,2,167,12,36,86,0,40,212,13,34,70,0,68,213,4,22,50,0,10,62,7,28,101,0,0,0,0,0,0,0
921002,0,13,211,0,0,0,0,15,242,0,0,0,0,21,173,0,0,0,0,8,207,0,0,0,0,17,191,0,0,0,0,9,2,0,0,0,0,2,0,0,0,0
927355,0,66,195,1,1,0,0,20,237,1,0,0,0,27,277,2,1,0,0,11,271,1,1,0,0,58,176,0,0,0,0,3,14,0,0,0,0,7,7,0,0,0
357327,20,438,13,3,39,0,62,419,15,12,51,0,0,513,12,5,31,0,28,368,20,17,54,0,18,410,7,8,31,0,0,0,0,0,0,0,0,0,0,0,0,0
358233,9,183,12,168,152,0,6,113,20,175,223,0,0,218,25,170,161,0,0,159,26,179,192,0,19,171,22,161,181,0,0,2,0,8,20,0,0,0,0,0,0,0
331829,0,164,21,24,48,0,0,170,18,18,55,0,0,97,9,10,29,0,0,94,7,2,31,0,0,84,5,3,16,0,0,285,60,7,125,0,0,203,31,0,46,0
330593,0,111,30,67,190,0,0,100,37,66,187,0,0,98,33,58,189,0,0,100,25,62,158,0,0,78,31,57,187,0,0,4,0,0,2,0,0,0,0,0,0,0
341171,57,240,8,24,192,0,33,319,9,22,181,0,4,233,12,33,194,0,40,228,6,37,157,0,41,290,9,34,179,0,0,18,1,4,42,0,0,0,0,0,0,0
906258,59,220,62,0,22,0,80,184,97,0,20,0,0,207,77,0,17,0,50,148,98,0,14,0,96,200,74,2,8,0,1,0,0,0,1,0,0,0,0,0,0,0
903106,0,28,282,0,40,0,0,20,351,0,24,0,3,17,296,0,138,0,1,15,345,1,34,0,1,8,213,1,31,0,0,0,0,0,0,0,0,0,0,0,1,0
355635,37,207,29,26,95,0,44,180,23,20,93,0,7,201,16,15,65,0,23,166,32,19,111,1,43,230,58,25,113,1,0,0,0,0,0,0,0,0,0,0,0,0
353512,0,14,6,14,38,0,11,123,50,161,214,0,0,117,50,140,176,0,0,123,70,118,221,0,0,98,36,131,215,0,0,82,27,143,299,0,0,0,0,0,0,0
904597,0,180,167,0,11,1,0,262,185,4,12,1,0,242,195,0,15,1,0,221,149,0,7,0,0,142,96,1,3,0,0,1,3,0,0,0,0,1,1,0,0,0
356507,40,102,28,54,133,0,84,129,49,62,150,0,0,141,18,57,141,0,51,96,27,82,126,0,99,87,35,56,119,0,0,11,3,6,28,0,0,189,32,0,30,0
355671,2,260,56,47,276,1,16,176,61,17,243,0,1,199,77,29,222,0,4,173,75,14,235,3,2,99,43,19,151,0,3,51,8,0,36,2,0,0,0,0,0,0
929923,5,162,58,0,5,0,7,280,134,6,13,0,0,164,82,4,12,0,5,195,77,11,7,0,7,165,85,16,5,0,0,1,1,0,0,0,0,3,1,0,0,0
356502,2,173,43,47,273,1,1,186,67,36,215,1,0,143,41,34,218,3,2,132,47,33,211,0,1,204,70,48,232,3,1,122,48,11,102,0,0,73,19,0,81,0
