issuer_code,day_week,day_period,violation_code,count
333733,6,PM,71,4
333733,7,AM,14,1
333733,7,AM,40,3
333733,7,AM,46,1
333733,7,AM,71,2
333733,7,PM,14,21
333733,7,PM,17,3
333733,7,PM,20,2
333733,7,PM,40,7
333733,7,PM,71,4
337778,1,AM,14,7
337778,1,AM,16,27
337778,1,AM,17,6
337778,1,AM,19,2
337778,1,AM,20,21
337778,1,AM,21,46
337778,1,AM,37,48
337778,1,AM,38,40
337778,1,AM,40,6
337778,1,AM,46,31
337778,1,AM,71,22
337778,1,PM,14,3
337778,1,PM,16,11
337778,1,PM,17,2
337778,1,PM,19,3
337778,1,PM,20,19
337778,1,PM,21,16
337778,1,PM,37,64
337778,1,PM,38,40
337778,1,PM,40,9
337778,1,PM,46,16
337778,1,PM,71,23
337778,2,AM,14,12
337778,2,AM,16,12
337778,2,AM,17,1
337778,2,AM,19,9
337778,2,AM,20,14
337778,2,AM,21,44
337778,2,AM,37,45
337778,2,AM,38,66
337778,2,AM,40,14
337778,2,AM,46,67
337778,2,AM,71,36
337778,2,PM,14,19
337778,2,PM,16,4
337778,2,PM,17,2
337778,2,PM,19,13
337778,2,PM,20,13
337778,2,PM,21,41
337778,2,PM,37,84
337778,2,PM,38,68
337778,2,PM,40,19
337778,2,PM,42,3
337778,2,PM,46,42
337778,2,PM,71,26
337778,3,AM,14,8
337778,3,AM,16,14
337778,3,AM,19,4
337778,3,AM,20,7
337778,3,AM,21,35
337778,3,AM,37,47
337778,3,AM,38,48
337778,3,AM,40,5
337778,3,AM,46,45
337778,3,AM,71,24
337778,3,PM,14,11
337778,3,PM,16,5
337778,3,PM,19,9
337778,3,PM,20,15
337778,3,PM,21,26
337778,3,PM,37,105
337778,3,PM,38,80
337778,3,PM,40,16
337778,3,PM,46,42
337778,3,PM,71,46
337778,4,AM,14,8
337778,4,AM,16,4
337778,4,AM,17,8
337778,4,AM,19,10
337778,4,AM,20,32
337778,4,AM,21,38
337778,4,AM,37,77
337778,4,AM,38,55
337778,4,AM,40,8
337778,4,AM,42,3
337778,4,AM,46,14
337778,4,AM,71,25
337778,4,PM,14,15
337778,4,PM,16,18
337778,4,PM,17,9
337778,4,PM,19,6
337778,4,PM,20,16
337778,4,PM,21,12
337778,4,PM,31,2
337778,4,PM,37,72
337778,4,PM,38,52
337778,4,PM,40,8
337778,4,PM,42,1
337778,4,PM,46,31
337778,4,PM,69,3
337778,4,PM,71,21
337778,5,AM,14,7
337778,5,AM,16,12
337778,5,AM,17,1
337778,5,AM,19,6
337778,5,AM,20,11
337778,5,AM,21,104
337778,5,AM,37,44
337778,5,AM,38,42
337778,5,AM,40,5
337778,5,AM,46,41
337778,5,AM,71,39
